tgt_priority_explanation,tgt_industry,country_flying_mission,total_tons,ac_attacking
target of last resort,unidentified targets,usa,3,1
target of last resort,unidentified targets,usa,3,1
target of last resort,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
primary target,synthetic oil refineries,others,38,16
primary target,synthetic oil refineries,others,38,16
target of last resort,urban areas,usa,4,1
target of last resort,urban areas,usa,1,2
target of last resort,urban areas,usa,4,1
target of last resort,urban areas,usa,1,2
target of last resort,urban areas,usa,4,1
target of last resort,urban areas,usa,1,2
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
primary target,synthetic oil refineries,others,28,12
primary target,synthetic oil refineries,others,28,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,20,8
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,20,8
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,27,12
primary target,synthetic oil refineries,others,27,12
primary target,synthetic oil refineries,others,24,10
primary target,synthetic oil refineries,others,24,10
primary target,synthetic oil refineries,others,23,9
primary target,synthetic oil refineries,others,50,20
primary target,synthetic oil refineries,others,23,9
primary target,synthetic oil refineries,others,50,20
primary target,synthetic oil refineries,others,43,17
primary target,synthetic oil refineries,others,43,17
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,40,16
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,40,16
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,27,11
primary target,synthetic oil refineries,others,45,21
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,27,11
primary target,synthetic oil refineries,others,45,21
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,19,4
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,19,4
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,44,20
primary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,44,20
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,45,18
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,45,18
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,39,16
primary target,synthetic oil refineries,others,45,18
primary target,synthetic oil refineries,others,5,2
primary target,synthetic oil refineries,others,48,19
primary target,synthetic oil refineries,others,39,16
primary target,synthetic oil refineries,others,45,18
primary target,synthetic oil refineries,others,5,2
primary target,synthetic oil refineries,others,48,19
primary target,synthetic oil refineries,others,48,19
primary target,synthetic oil refineries,others,48,19
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,33,13
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,33,13
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,2,1
primary target,synthetic oil refineries,others,18,7
primary target,synthetic oil refineries,others,5,2
primary target,synthetic oil refineries,others,5,2
primary target,synthetic oil refineries,others,2,1
primary target,synthetic oil refineries,others,18,7
primary target,synthetic oil refineries,others,5,2
primary target,synthetic oil refineries,others,5,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,23,7
target of opportunity,unidentified targets,others,23,7
target of opportunity,unidentified targets,others,23,7
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
primary target,urban areas,usa,30,12
primary target,urban areas,usa,30,12
primary target,urban areas,usa,30,12
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
primary target,urban areas,usa,25,10
primary target,urban areas,usa,25,10
primary target,urban areas,usa,25,10
primary target,urban areas,usa,30,13
primary target,urban areas,usa,30,13
primary target,urban areas,usa,29,12
primary target,urban areas,usa,28,11
primary target,urban areas,usa,29,12
primary target,urban areas,usa,28,11
primary target,urban areas,usa,29,12
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,12
primary target,urban areas,usa,28,12
primary target,urban areas,usa,28,12
primary target,urban areas,usa,25,10
primary target,urban areas,usa,28,12
primary target,urban areas,usa,25,10
primary target,urban areas,usa,28,12
primary target,urban areas,usa,25,10
primary target,urban areas,usa,30,12
primary target,urban areas,usa,30,12
primary target,urban areas,usa,30,12
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
primary target,urban areas,usa,33,13
primary target,urban areas,usa,29,12
primary target,urban areas,usa,29,12
primary target,urban areas,usa,33,13
primary target,urban areas,usa,29,12
primary target,urban areas,usa,29,12
primary target,urban areas,usa,33,13
primary target,urban areas,usa,29,12
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
primary target,urban areas,usa,29,12
primary target,urban areas,usa,28,11
primary target,urban areas,usa,28,11
